id,group,distance,shots,order,ball,made,year,basketball,height,hand,glasses,HSsports,awake,underhand,sleep
1,1,7,6,tennis-pingpong,tennis,4,2020,1,71,R,N,3,1.5,N,7.5
2,1,7,9,tennis-pingpong,tennis,5,2020,0,67.2,R,N,2,1.5,N,6
3,1,7,6,tennis-pingpong,tennis,4,2020,0,62,R,N,3,1.5,N,6
4,1,7,9,tennis-pingpong,tennis,6,2020,0,63,R,N,1,2,N,6.5
5,2,10,6,tennis-pingpong,tennis,5,2020,0,69,R,N,1,1.5,N,7
6,2,10,9,tennis-pingpong,tennis,5,2020,0,72,R,N,3,1.5,N,9
7,2,10,6,tennis-pingpong,tennis,1,2020,0,66,R,Y,2,1.5,N,7
8,3,13,6,tennis-pingpong,tennis,3,2021,0,74,R,Y,1,2,N,8
9,3,13,9,tennis-pingpong,tennis,4,2020,0,67,R,N,4,1,N,8.23
10,3,13,6,tennis-pingpong,tennis,2,2020,0,73,R,N,3,2.5,N,8
11,3,13,9,tennis-pingpong,tennis,4,2021,1,72,R,N,3,2.5,Y,7
12,4,7,6,pingpong-tennis,pingpong,5,2020,0,67,R,N,2,1.5,Y,7
13,4,7,6,pingpong-tennis,pingpong,2,2020,0,60,R,Y,1,4.5,Y,4.5
14,4,7,9,pingpong-tennis,pingpong,6,2020,0,66,R,Y,4,2,N,6.5
15,5,10,9,pingpong-tennis,pingpong,5,2020,0,75,R,Y,1,7,N,2
16,5,10,9,pingpong-tennis,pingpong,2,2020,0,65,R,Y,1,1.5,N,6.5
17,6,13,6,pingpong-tennis,pingpong,0,2020,0,60,R,Y,1,5,Y,5
18,6,13,9,pingpong-tennis,pingpong,3,2020,0,74,R,Y,2,1,N,6.5
19,6,13,6,pingpong-tennis,pingpong,0,2020,0,71,R,Y,3,3,N,3.5
20,6,13,9,pingpong-tennis,pingpong,2,2020,1,72,R,Y,2,1.5,N,5.5
1,1,7,6,tennis-pingpong,pingpong,5,2020,1,71,R,N,3,1.5,N,7.5
2,1,7,9,tennis-pingpong,pingpong,7,2020,0,67.2,R,N,2,1.5,N,6
3,1,7,6,tennis-pingpong,pingpong,1,2020,0,62,R,N,3,1.5,N,6
4,1,7,9,tennis-pingpong,pingpong,5,2020,0,63,R,N,1,2,N,6.5
5,2,10,6,tennis-pingpong,pingpong,5,2020,0,69,R,N,1,1.5,N,7
6,2,10,9,tennis-pingpong,pingpong,6,2020,0,72,R,N,3,1.5,N,9
7,2,10,6,tennis-pingpong,pingpong,3,2020,0,66,R,Y,2,1.5,N,7
8,3,13,6,tennis-pingpong,pingpong,2,2021,0,74,R,Y,1,2,N,8
9,3,13,9,tennis-pingpong,pingpong,5,2020,0,67,R,N,4,1,N,8.23
10,3,13,6,tennis-pingpong,pingpong,4,2020,0,73,R,N,3,2.5,N,8
11,3,13,9,tennis-pingpong,pingpong,1,2021,1,72,R,N,3,2.5,Y,7
12,4,7,6,pingpong-tennis,tennis,2,2020,0,67,R,N,2,1.5,Y,7
13,4,7,6,pingpong-tennis,tennis,1,2020,0,60,R,Y,1,4.5,Y,4.5
14,4,7,9,pingpong-tennis,tennis,5,2020,0,66,R,Y,4,2,N,6.5
15,5,10,9,pingpong-tennis,tennis,4,2020,0,75,R,Y,1,7,N,2
16,5,10,9,pingpong-tennis,tennis,2,2020,0,65,R,Y,1,1.5,N,6.5
17,6,13,6,pingpong-tennis,tennis,1,2020,0,60,R,Y,1,5,Y,5
18,6,13,9,pingpong-tennis,tennis,6,2020,0,74,R,Y,2,1,N,6.5
19,6,13,6,pingpong-tennis,tennis,5,2020,0,71,R,Y,3,3,N,3.5
20,6,13,9,pingpong-tennis,tennis,2,2020,1,72,R,Y,2,1.5,N,5.5
